指标,数值,单位
总加权拖期,inf,天
订单准时交付率,0.00,%
平均拖期,inf,天
Makespan,inf,天
设备平均利用率,inf,%
瓶颈设备负载率,inf,%
负载均衡度(标准差),nan,%
