Solution,Total_Weighted_Tardiness,On_Time_Delivery_Rate,Avg_Tardiness,Makespan_Days,Avg_Utilization,Bottleneck_Load,Load_Balance_Std
最小拖期解,2.997037037037037,80.0,0.42814814814814817,7.573900462962963,9.386158457600423,18.044592446417802,5.737488306955251
最大利用率解,5.49662037037037,80.0,0.7852314814814815,8.926157407407407,9.286673821934066,27.588853827326908,9.329468770446153
最小Makespan解,2.997037037037037,80.0,0.42814814814814817,7.140740740740741,9.38426078305385,18.658697856712163,5.769472947402343
平衡解,3.1198611111111108,80.0,0.4456944444444444,7.228472222222222,9.317145009801214,18.80965473058159,6.572383496903137
